,SampleNum,Model,Price
0,0,index,17822.0
1,0,Actual,1959.93
2,0,Classic Lasso,2276.43
3,0,Elasticnet,2274.27
4,0,LassoCV,2268.06
5,0,LinearRegression,2276.4
6,0,RandomForest,2034.45
7,0,RidgeCV,2276.4
8,0,XGBoost,2105.08
9,1,index,13822.0
10,1,Actual,1396.0
11,1,Classic Lasso,1770.12
12,1,Elasticnet,1767.84
13,1,LassoCV,1771.85
14,1,LinearRegression,1770.13
15,1,RandomForest,1774.16
16,1,RidgeCV,1770.13
17,1,XGBoost,1644.58
18,2,index,3770.0
19,2,Actual,1438.0
20,2,Classic Lasso,1383.0
21,2,Elasticnet,1381.42
22,2,LassoCV,1383.27
23,2,LinearRegression,1382.94
24,2,RandomForest,1704.23
25,2,RidgeCV,1382.94
26,2,XGBoost,1601.0
27,3,index,4126.0
28,3,Actual,1850.0
29,3,Classic Lasso,1438.71
30,3,Elasticnet,1438.03
31,3,LassoCV,1450.2
32,3,LinearRegression,1438.78
33,3,RandomForest,1694.25
34,3,RidgeCV,1438.78
35,3,XGBoost,1679.04
36,4,index,7942.0
37,4,Actual,3189.0
38,4,Classic Lasso,1790.75
39,4,Elasticnet,1790.51
40,4,LassoCV,1793.47
41,4,LinearRegression,1790.64
42,4,RandomForest,2487.5
43,4,RidgeCV,1790.64
44,4,XGBoost,2750.57
45,5,index,18169.0
46,5,Actual,1497.98
47,5,Classic Lasso,1762.3
48,5,Elasticnet,1763.65
49,5,LassoCV,1759.86
50,5,LinearRegression,1762.35
51,5,RandomForest,1566.56
52,5,RidgeCV,1762.35
53,5,XGBoost,1461.27
54,6,index,9442.0
55,6,Actual,2763.0
56,6,Classic Lasso,2296.94
57,6,Elasticnet,2296.87
58,6,LassoCV,2294.94
59,6,LinearRegression,2297.0
60,6,RandomForest,2783.91
61,6,RidgeCV,2297.0
62,6,XGBoost,2780.15
63,7,index,9425.0
64,7,Actual,2162.0
65,7,Classic Lasso,1883.74
66,7,Elasticnet,1883.48
67,7,LassoCV,1888.11
68,7,LinearRegression,1883.74
69,7,RandomForest,2195.88
70,7,RidgeCV,1883.74
71,7,XGBoost,2110.61
72,8,index,2629.0
73,8,Actual,2474.0
74,8,Classic Lasso,2415.76
75,8,Elasticnet,2416.94
76,8,LassoCV,2409.24
77,8,LinearRegression,2415.72
78,8,RandomForest,2355.33
79,8,RidgeCV,2415.72
80,8,XGBoost,2384.42
81,9,index,19026.0
82,9,Actual,2328.67
83,9,Classic Lasso,1819.01
84,9,Elasticnet,1818.17
85,9,LassoCV,1803.81
86,9,LinearRegression,1819.15
87,9,RandomForest,1995.74
88,9,RidgeCV,1819.15
89,9,XGBoost,2032.99
90,10,index,4117.0
91,10,Actual,1232.0
92,10,Classic Lasso,1675.29
93,10,Elasticnet,1674.04
94,10,LassoCV,1660.09
95,10,LinearRegression,1675.32
96,10,RandomForest,1394.12
97,10,RidgeCV,1675.32
98,10,XGBoost,1327.12
99,11,index,15518.0
100,11,Actual,1449.0
101,11,Classic Lasso,1429.86
102,11,Elasticnet,1429.19
103,11,LassoCV,1431.77
104,11,LinearRegression,1429.96
105,11,RandomForest,1403.26
106,11,RidgeCV,1429.96
107,11,XGBoost,1482.72
108,12,index,10728.0
109,12,Actual,2191.0
110,12,Classic Lasso,1837.78
111,12,Elasticnet,1836.11
112,12,LassoCV,1818.19
113,12,LinearRegression,1838.24
114,12,RandomForest,1979.17
115,12,RidgeCV,1838.24
116,12,XGBoost,2098.97
117,13,index,20148.0
118,13,Actual,1764.69
119,13,Classic Lasso,1383.48
120,13,Elasticnet,1383.24
121,13,LassoCV,1389.7
122,13,LinearRegression,1383.59
123,13,RandomForest,1704.02
124,13,RidgeCV,1383.59
125,13,XGBoost,1668.73
126,14,index,1824.0
127,14,Actual,1486.0
128,14,Classic Lasso,1146.2
129,14,Elasticnet,1145.73
130,14,LassoCV,1156.88
131,14,LinearRegression,1146.16
132,14,RandomForest,1342.09
133,14,RidgeCV,1146.16
134,14,XGBoost,1497.44
135,15,index,8130.0
136,15,Actual,1987.0
137,15,Classic Lasso,1799.43
138,15,Elasticnet,1798.53
139,15,LassoCV,1794.29
140,15,LinearRegression,1799.6
141,15,RandomForest,1787.23
142,15,RidgeCV,1799.6
143,15,XGBoost,1923.9
144,16,index,19242.0
145,16,Actual,1732.43
146,16,Classic Lasso,1268.78
147,16,Elasticnet,1268.86
148,16,LassoCV,1267.08
149,16,LinearRegression,1268.83
150,16,RandomForest,1429.77
151,16,RidgeCV,1268.83
152,16,XGBoost,1617.22
153,17,index,9556.0
154,17,Actual,2818.0
155,17,Classic Lasso,2212.73
156,17,Elasticnet,2211.92
157,17,LassoCV,2212.42
158,17,LinearRegression,2212.74
159,17,RandomForest,2462.81
160,17,RidgeCV,2212.74
161,17,XGBoost,2253.27
162,18,index,1522.0
163,18,Actual,1819.0
164,18,Classic Lasso,2223.79
165,18,Elasticnet,2223.45
166,18,LassoCV,2211.64
167,18,LinearRegression,2223.76
168,18,RandomForest,1736.01
169,18,RidgeCV,2223.76
170,18,XGBoost,1880.83
171,19,index,1520.0
172,19,Actual,1790.0
173,19,Classic Lasso,1773.46
174,19,Elasticnet,1773.3
175,19,LassoCV,1768.58
176,19,LinearRegression,1773.49
177,19,RandomForest,1639.94
178,19,RidgeCV,1773.49
179,19,XGBoost,1655.35
180,20,index,6285.0
181,20,Actual,1287.0
182,20,Classic Lasso,1575.61
183,20,Elasticnet,1574.48
184,20,LassoCV,1570.89
185,20,LinearRegression,1575.72
186,20,RandomForest,1635.91
187,20,RidgeCV,1575.72
188,20,XGBoost,1551.61
189,21,index,9714.0
190,21,Actual,2361.0
191,21,Classic Lasso,1905.04
192,21,Elasticnet,1904.26
193,21,LassoCV,1889.34
194,21,LinearRegression,1905.22
195,21,RandomForest,2133.34
196,21,RidgeCV,1905.22
197,21,XGBoost,2160.81
198,22,index,12469.0
199,22,Actual,2183.0
200,22,Classic Lasso,2233.68
201,22,Elasticnet,2234.39
202,22,LassoCV,2235.24
203,22,LinearRegression,2233.62
204,22,RandomForest,2194.2
205,22,RidgeCV,2233.62
206,22,XGBoost,2231.59
207,23,index,1374.0
208,23,Actual,1687.0
209,23,Classic Lasso,1557.77
210,23,Elasticnet,1556.95
211,23,LassoCV,1554.56
212,23,LinearRegression,1557.78
213,23,RandomForest,1605.59
214,23,RidgeCV,1557.78
215,23,XGBoost,1840.69
216,24,index,1405.0
217,24,Actual,2077.0
218,24,Classic Lasso,1842.69
