RECSYEAR,COUNTRY,DOEID,REGIONC,REGIONNAME,DIVISION,DIVISIONNAME,TYPEHUQ,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,DOOR1SUM,WINDOWS,ADQINSUL,DRAFTY,UGASHERE,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,ICE,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,TOASTER,COFFEE,DWASHUSE,WASHLOAD,WASHTEMP,RNSETEMP,DRYRUSE,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,EQUIPAUX,REVERSE,WARMAIR,STEAMR,PERMELEC,PIPELESS,ROOMHEAT,WOODKILN,CARRYEL,CARRYKER,CHIMNEY,RANGE,DIFEQUIP,ELECAUX,UGASAUX,LPGAUX,FOKRAUX,WOODAUX,OTHERAUX,ATTCHEAT,GARGHEAT,COOLTYPE,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,LPGPAY,FOPAY,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,ATHOME,MONEYPY,ELWATER,LPOTHER,TOTCSQFT,TOTHSQFT,TOTUSQFT,NWEIGHT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTULP,BTULPSPH,BTULPWTH,BTULPOTH,BTUNG,BTUNGSPH,BTUNGWTH,BTUNGOTH,BTUFO,BTUFOSPH,BTUFOWTH,BTUFOOTH,DOLLARNG,DOLNGSPH,DOLNGWTH,DOLNGOTH,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,DOLLARLP,DOLLPSPH,DOLLPWTH,DOLLPOTH,DOLLARFO,DOLFOSPH,DOLFOWTH,DOLFOOTH,GALLONFO,TOTALBTU,TOTALDOLLAR,WOODAMT,PERIODFO,PERIODLP,PERIODEL,PERIODNG,KOWNRENT,SWIMPOOL,POOL,RECBATH,FUELTUB,NUMFRIG,UPRTFRZR,STOVEN,STOVE,OVEN,MICRO,DISHWASH,CWASHER,DRYER,DRYRFUEL,DNTHEAT,THERMAIN,AIRCOND,CENACHP,USEEL,ELWARM,ELCOOL,ELFOOD,ELOTHER,UGWARM,UGWATER,UGCOOK,UGOTH,USELP,LPWARM,LPWATER,LPCOOK,USEFO,FOWARM,FOWATER,USEWOOD,WOODLOGS,WDPELLET,WDOTHER,WDWARM,WDWATER,USESOLAR,SOLWATER,SOLOTHER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
2001,United States,1015,1,Northeast,2,Middle Atlantic,2,0,20,1,2,9,4,1,0,2,7,0,4,2,3,1,99,3,2,4,0,9,9,99,0,9,99,1,2,4,3,0,0,99,4,1,3,1,2,3,4,9,66,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,99,9,2,3,2,1,3,5,1,0,-9,9,9,1,1,72,0,1,4,1,8,0,0,520,1560,250,14360,1251,4242,0,0,25914,0,2204,0,3271,25874,0,0,0,0,0,0,0,0,71009,46714,24295,0,0,0,0,0,1045,0,89,0,132,1043,0,0,0,0,840,553,287,0,512,96923,1885,0,1, ,1, ,1,0,9,0,99,1,9,1,0,0,1,0,1,1,5,9,0,1,9,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,9,9,0,0,0,0,0,0,5,4,2
2015,United States,15226,2,Midwest,4,West North Central,3,0,20,0,1,5,3,2,0,7,10,1,60,2,4,1,-2,4,1,3,0,4,1,3,1,3,5,1,2,7,4,1,1,-2,5,3,3,5,3,1,41,1,70,65,60,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-2,1,41,2,-2,-2,-2,5,1,41,2,2,-2,1,-2,-2,1,58,2,1,1,3,2,0,0,2728,4092,0,10642.79842,643,6947,0,692.995,23425.496,3711.729,2804.378,0,2642.909,17353.91,0,0,0,0,67491.514,52793.521,9962.665,4735.327,0,0,0,0,638.25,499.25,94.21,44.78,960.04,152.12,114.93,0,108.31,711.18,0,0,0,0,0,0,0,0,0,90917.01,1598.29,-2,-2,-2,1,1,1,0,-2,0,-2,2,2,2,0,0,2,0,1,1,1,-2,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,6,3,1
2015,United States,12871,4,West,8,Mountain,3,1,10,1,7,7,3,3,0,7,10,0,30,1,4,1,-2,4,21,3,1,4,22,3,1,3,3,1,2,7,2,1,1,3,3,2,2,3,3,1,42,1,70,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,3,3,-2,-2,-2,1,1,1,3,2,1,1,-2,-2,2,70,0,1,1,5,4,0,0,2790,2790,400,9816.207467,1559,4147,0,728.87,34813.648,0,4756.749,0,3686.343,30618.358,0,0,0,0,63921.142,48052.974,11224.574,4643.594,0,0,0,0,665.26,500.11,116.82,48.33,1331.38,0,181.91,0,140.98,1170.91,0,0,0,0,0,0,0,0,0,98734.79,1996.64,-2,-2,-2,1,1,1,0,-2,0,-2,2,2,1,0,0,1,1,1,1,1,-2,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,7,1,1
2001,United States,1001,1,Northeast,1,New England,2,1,31,1,9,9,6,2,1,4,13,1,6,2,3,1,99,4,2,2,1,9,9,99,0,9,99,9,9,2,4,0,0,13,3,3,3,1,3,1,3,0,70,65,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,3,2,0,99,9,0,5,3,3,0,-9,1,9,9,1,35,1,1,2,0,10,1,0,2440,2395,2885,19026,769,5549,0,958,50902,0,7338,11486,5595,33750,0,0,0,0,98593,98593,0,0,0,0,0,0,1100,1100,0,0,1667,0,241,376,183,1105,0,0,0,0,0,0,0,0,0,149495,2767,0, , ,5,5,1,0,9,0,99,1,9,0,1,0,1,1,1,1,5,9,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,8,2,3
2001,United States,1015,1,Northeast,2,Middle Atlantic,2,0,20,1,2,9,4,1,0,2,7,0,4,2,3,1,99,3,2,4,0,9,9,99,0,9,99,1,2,4,3,0,0,99,4,1,3,1,2,3,4,9,66,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,99,9,2,3,2,1,3,5,1,0,-9,9,9,1,1,72,0,1,4,1,8,0,0,520,2500,250,14360,1251,4242,0,0,25914,0,2204,0,3271,25874,0,0,0,0,0,0,0,0,71009,46714,24295,0,0,0,0,0,1045,0,89,0,132,1043,0,0,0,0,840,553,287,0,512,96923,1885,0,1, ,1, ,1,0,9,0,99,1,9,1,0,0,1,0,1,1,5,9,0,1,9,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,9,9,0,0,0,0,0,0,5,4,2
