,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
1335,2,4,1,20,0,1,9,3,1,0,4,8,4,2,3,99,3,2,3,9,9,99,0,9,99,1,3,2,2,99,3,2,3,1,2,0,72,68,72,0,99,9,2,4,3,0,5,2,1,1,-9,1,1,27,1,1,4,6,3668,3668,0,980,5771,0.0,853.0,44752.0,0.0,9755.0,8478.0,2832.0,27548.0,0.0,854.0,0.0,186.0,162.0,54.0,526.0,136387.0,0.0,0,1,0,9,4,3
1336,2,4,1,10,0,3,9,3,1,1,4,9,4,1,4,99,3,2,4,9,9,99,1,3,4,1,2,3,2,99,3,2,3,1,5,0,70,70,70,0,99,9,2,1,3,1,1,4,2,0,-9,1,2,42,1,1,4,5,2000,2000,0,980,5771,0.0,623.0,47806.0,0.0,11414.0,0.0,4559.0,39790.0,0.0,897.0,0.0,214.0,0.0,86.0,746.0,119870.0,200.0,0,1,0,6,3,1
1337,2,4,0,10,1,1,2,1,1,0,3,5,2,1,4,99,3,2,96,9,9,99,0,9,99,1,5,2,3,99,2,2,7,2,1,0,70,55,55,1,99,9,1,1,2,1,5,96,5,0,-9,9,1,73,0,1,1,3,886,886,250,1114,4873,180.0,0.0,23475.0,1473.0,2472.0,3567.0,4641.0,14029.0,0.0,578.0,36.0,61.0,88.0,114.0,346.0,42621.0,0.0,0,1,0,4,2,2
1338,2,4,1,10,1,9,3,4,3,0,7,14,5,1,4,99,5,2,1,9,9,99,1,5,1,1,5,4,4,13,3,2,3,2,3,1,70,65,65,0,3,3,0,99,9,7,5,3,3,0,-9,9,2,61,2,1,2,7,4520,4520,400,1114,4873,789.0,0.0,58372.0,0.0,13534.0,9086.0,5103.0,39492.0,0.0,1171.0,0.0,272.0,182.0,102.0,792.0,139288.0,0.0,0,1,0,5,3,3
1339,2,4,9,99,0,7,9,3,2,0,3,8,3,2,3,99,3,2,2,3,1,4,1,3,4,1,2,4,2,99,5,2,3,2,4,1,68,65,65,1,4,3,1,1,1,3,2,2,2,0,-9,9,2,32,1,1,5,8,1216,1216,0,711,8122,745.0,0.0,66694.0,2014.0,8644.0,0.0,8940.0,66262.0,0.0,1658.0,50.0,215.0,0.0,222.0,1647.0,153901.0,0.0,0,2,1,10,4,3
1340,2,4,9,99,9,5,9,2,1,0,2,5,2,2,3,99,3,2,1,9,9,99,0,9,99,1,5,4,4,99,9,9,5,5,5,0,72,60,68,0,99,9,1,5,0,1,5,0,0,0,-9,9,1,80,0,1,1,3,0,400,399,711,8122,0.0,0.0,17749.0,11811.0,0.0,1729.0,1357.0,2852.0,0.0,545.0,363.0,0.0,53.0,42.0,87.0,17749.0,0.0,0,1,0,1,0,1
1341,2,4,1,20,0,1,2,4,2,0,2,8,4,1,3,99,3,2,3,9,9,99,1,1,1,1,2,2,2,12,2,3,3,1,4,0,67,65,67,1,2,1,0,99,9,0,1,3,2,0,-9,1,2,31,1,1,2,6,1420,1801,1038,711,8122,0.0,829.0,27767.0,1777.0,3127.0,0.0,3388.0,23652.0,0.0,816.0,52.0,92.0,0.0,100.0,695.0,117248.0,0.0,0,1,0,5,2,2
1342,2,4,1,10,0,3,2,2,1,0,7,10,5,2,3,99,3,2,2,9,9,99,1,3,5,1,1,4,1,99,3,3,3,3,2,0,70,65,70,0,99,9,0,99,9,1,5,1,2,0,-9,9,1,23,2,3,2,3,0,1932,1012,711,8122,50.0,0.0,34860.0,0.0,0.0,8628.0,3358.0,32055.0,89572.0,989.0,0.0,0.0,245.0,95.0,910.0,138180.0,0.0,0,1,0,5,0,0
1343,3,6,9,99,0,7,9,2,1,0,2,5,2,1,4,99,3,2,3,9,9,99,0,9,99,1,2,9,3,99,3,1,3,2,4,0,72,72,68,1,99,9,1,3,3,0,5,4,1,0,-9,9,1,82,0,1,1,3,648,648,0,1907,2760,455.0,0.0,22570.0,1309.0,4718.0,3168.0,3479.0,9896.0,0.0,552.0,32.0,115.0,78.0,85.0,242.0,64125.0,0.0,0,1,0,1,0,0
1344,3,6,0,10,1,5,9,4,1,0,2,7,4,1,4,99,4,2,3,9,9,99,1,3,5,1,1,4,2,99,2,2,7,2,4,9,75,68,68,0,99,9,2,4,3,5,5,3,3,0,-9,9,1,82,0,2,4,4,1127,751,626,1907,2760,500.0,0.0,56984.0,0.0,10307.0,12751.0,9710.0,34990.0,0.0,1176.0,0.0,213.0,263.0,200.0,723.0,113423.0,0.0,0,1,0,5,0,0
