,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
10957,4,10,-2,10,0,1974,7,2,1,1,2,4,41,3,3,-2,3,22,5,-2,-2,-2,1,2,5,2,4,1,3,-2,2,2,8,7,5,-2,59,50,50,0,-2,-2,-2,-2,-2,2,5,5,3,-2,-2,-2,2,57,1,1,2,6,0,1044,0,289,9716,3.0,0.0,37222.0,2440.28,0.0,11048.79,3241.28,20491.65,0.0,837.0,54.87,0.0,248.45,72.89,460.79,37496.0,4.0,0,1,0,8,0,0
10958,3,5,0,10,0,1996,6,3,2,0,3,6,41,1,4,-2,5,21,41,-2,-2,-2,-2,-2,-2,5,4,4,4,11,3,3,3,1,41,1,68,65,70,0,41,3,-2,-2,-2,6,5,41,2,1,-2,1,1,45,1,1,2,16,1680,1680,0,1594,3444,0.0,277.0,69769.0,0.0,11848.37,10833.0,9747.02,37340.62,0.0,1765.0,0.0,299.74,274.05,246.58,944.63,98162.01,-2.0,0,1,0,6,4,1
10959,3,6,0,20,1,2007,8,5,3,0,6,11,50,1,4,-2,5,21,2,-2,-2,-2,-2,-2,-2,5,5,1,3,11,3,3,3,5,2,0,68,65,65,0,2,3,-2,-2,-2,4,5,2,2,1,1,-2,1,27,1,2,4,23,3485,3485,650,2067,3000,0.0,0.0,45642.0,6312.25,13541.69,6580.03,2011.82,17196.22,0.0,1286.0,177.85,381.55,185.4,56.69,484.52,45642.01,-2.0,0,1,0,11,4,2
10960,2,4,1,10,0,1929,4,3,2,0,3,6,41,1,4,-2,3,21,3,-2,-2,-2,-2,-2,-2,1,5,4,2,11,3,2,3,1,41,0,70,70,66,0,5,3,-2,-2,-2,1,1,1,1,1,-2,1,1,71,0,1,2,12,1581,1581,446,1040,5312,0.0,751.0,28777.0,0.0,5430.6,0.0,3068.28,20278.12,0.0,848.0,0.0,160.03,0.0,90.42,597.56,105755.0,-2.0,0,1,0,8,4,0
10961,4,8,1,10,0,1924,8,2,1,0,3,5,42,1,4,-2,4,22,1,-2,-2,-2,-2,-2,-2,1,6,3,2,-2,5,3,3,1,2,0,68,63,60,0,-2,-2,-2,-2,-2,1,1,2,2,1,-2,1,1,35,0,1,3,10,0,374,1498,774,5446,0.0,402.0,7425.0,601.22,0.0,0.0,878.41,5945.37,0.0,287.0,23.24,0.0,0.0,33.95,229.81,48630.01,-2.0,0,1,0,5,3,0
10962,2,4,-2,-2,-2,1990,8,2,1,0,1,3,10,1,4,-2,3,22,42,-2,-2,-2,-2,-2,-2,5,4,3,3,20,-2,-2,5,5,42,0,66,66,66,0,-2,-2,1,42,3,1,5,1,3,-2,-9,-2,1,41,1,3,2,5,297,593,297,173,8167,0.0,0.0,38583.0,14083.33,339.93,8683.3,3162.83,12313.61,0.0,983.0,358.81,8.66,221.23,80.58,313.72,38583.0,-2.0,0,1,0,5,0,0
10963,4,9,0,10,1,1994,8,2,2,0,3,5,30,1,4,-2,3,1,3,-2,-2,-2,-2,-2,-2,1,4,3,4,-2,2,3,3,5,42,0,65,68,65,0,42,2,-2,-2,-2,0,2,42,2,1,-2,1,1,26,1,7,3,10,1910,1910,400,3821,1897,90.0,639.0,21073.0,3793.85,9064.53,0.0,1477.51,6737.11,0.0,846.0,152.31,363.91,0.0,59.32,270.47,94829.0,-2.0,0,1,1,5,4,2
10964,3,5,0,10,1,1996,6,3,2,0,3,6,30,1,4,-2,3,22,41,1,3,3,1,2,3,5,4,2,2,13,2,3,4,5,1,0,68,65,65,0,1,3,-2,-2,-2,6,5,41,2,0,-2,-2,2,79,0,1,2,10,1835,1835,400,3686,762,0.0,25.0,56414.0,2850.01,15025.98,5054.96,2939.57,30543.48,0.0,2023.0,102.2,538.83,181.27,105.41,1095.29,58976.99999999999,-2.0,0,2,0,8,5,2
10965,4,10,0,10,1,1988,7,3,2,0,3,6,30,1,4,-2,4,22,41,-2,-2,-2,-2,-2,-2,5,2,3,3,12,4,3,3,1,2,1,68,65,50,0,2,2,-2,-2,-2,2,1,41,1,1,1,1,2,37,1,1,4,15,1731,1731,400,1066,2469,0.0,561.0,35055.0,0.0,3761.56,0.0,3277.98,28015.46,0.0,1665.0,0.0,178.66,0.0,155.69,1330.64,92558.0,1.0,0,1,0,16,4,1
10966,1,1,1,10,0,1960,7,4,2,0,3,7,41,2,3,-2,4,22,2,-2,-2,-2,1,1,3,1,5,3,2,-2,2,2,3,1,3,0,75,75,75,0,-2,-2,3,2,2,1,1,3,2,0,-2,1,1,74,0,2,3,3,1343,1880,0,676,5582,0.0,1471.0,43500.0,0.0,5005.99,0.0,5098.98,33395.04,0.0,2828.0,0.0,325.45,0.0,331.49,2171.06,194278.01,-2.0,0,1,0,4,2,1
10967,1,2,1,-2,-2,1920,7,1,1,0,3,4,41,3,1,-2,3,22,3,-2,-2,-2,-2,-2,-2,-2,5,-2,2,13,2,1,5,5,41,0,55,55,55,0,-2,-2,1,2,1,0,5,41,3,-2,0,-2,2,69,0,1,1,23,278,833,494,934,5137,0.0,0.0,32462.0,12319.42,608.83,6063.29,2911.21,10559.25,0.0,1104.0,418.97,20.71,206.21,99.01,359.11,32462.0,-2.0,0,1,0,4,3,0
10968,3,5,0,-2,-2,1977,5,4,1,1,3,7,30,1,4,-2,4,22,41,-2,-2,-2,-2,-2,-2,1,2,2,3,-2,-2,-2,3,1,41,0,69,69,69,0,1,1,-2,-2,-2,0,1,41,2,-2,-2,2,2,52,1,1,5,7,994,994,0,2084,2460,0.0,479.0,29312.0,0.0,3565.7,0.0,5184.79,20561.5,0.0,870.0,0.0,105.83,0.0,153.89,610.28,78409.98999999999,-2.0,0,1,0,15,0,1
10969,4,10,0,10,1,1994,7,3,2,0,3,6,50,2,4,-2,5,23,3,-2,-2,-2,-2,-2,-2,5,6,3,4,12,3,3,5,5,42,0,70,70,70,0,-2,-2,-2,-2,-2,3,5,42,2,0,1,-2,1,55,1,1,1,20,0,1232,400,328,5010,0.0,0.0,50163.0,13860.41,0.0,7371.33,6005.33,22925.94,0.0,789.0,218.01,0.0,115.94,94.46,360.6,50163.01,-2.0,1,1,0,3,3,2
10970,3,5,1,10,1,1973,5,3,3,0,5,8,50,2,3,-2,4,21,5,1,3,41,1,3,5,-2,3,3,2,13,2,2,3,1,1,1,68,68,60,0,1,3,-2,-2,-2,7,1,3,2,0,0,1,2,65,0,1,2,17,3950,3950,400,1310,3639,0.0,625.0,53620.0,1271.27,14587.01,0.0,5779.6,31982.13,0.0,1744.0,41.35,474.45,0.0,187.98,1040.22,117683.01,-2.0,0,2,0,11,3,2
10971,3,5,1,20,1,2004,7,5,3,1,6,11,50,1,4,-2,5,21,3,4,22,42,-2,-2,-2,-2,3,1,1,30,2,1,3,2,3,0,70,64,62,0,3,3,-2,-2,-2,0,2,3,3,0,0,-2,2,45,0,1,5,24,3134,3134,1764,1098,4725,749.0,0.0,43940.0,3039.5,8322.86,0.0,8378.38,24199.26,0.0,2019.0,139.66,382.43,0.0,384.98,1111.93,112345.34,-2.0,0,2,1,12,3,1
10972,2,4,0,10,1,1955,7,3,1,0,2,5,30,2,2,-2,4,22,3,-2,-2,-2,-2,-2,-2,1,4,3,5,11,2,3,3,1,5,1,68,65,65,0,42,1,-2,-2,-2,3,1,41,3,0,1,1,1,38,1,1,1,5,652,652,250,561,6604,0.0,432.0,11915.0,0.0,414.5,0.0,2295.4,9205.1,0.0,512.0,0.0,17.81,0.0,98.64,395.55,56195.0,-2.0,0,1,0,3,2,2
10973,1,2,0,-2,-2,1920,6,3,1,1,3,6,41,2,4,-2,3,1,41,-2,-2,-2,-2,-2,-2,1,6,2,6,-2,2,2,2,1,41,1,68,55,65,0,-2,-2,-2,-2,-2,1,1,41,3,-2,-2,2,2,61,1,1,1,24,0,658,658,886,4727,0.0,1244.0,3255.0,0.0,0.0,0.0,1176.14,2078.87,0.0,406.0,0.0,0.0,0.0,146.7,259.3,130765.02,-2.0,0,1,0,0,3,1
10974,1,2,1,20,1,1955,2,3,2,0,5,8,42,3,2,-2,4,22,41,-2,-2,-2,-2,-2,-2,5,6,3,3,11,3,3,3,1,1,1,68,68,62,0,-2,-2,2,1,1,7,1,1,2,0,-2,1,1,83,0,1,1,7,677,2369,1308,459,6543,0.0,566.0,41302.0,6786.19,802.32,0.0,5730.91,27982.59,0.0,1634.0,268.48,31.74,0.0,226.73,1107.05,99317.01,-2.0,0,1,0,3,4,2
