,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
12890,2,3,-2,-2,-2,1950,7,2,1,0,2,4,20,1,4,-2,3,22,3,-2,-2,-2,-2,-2,-2,1,4,1,2,-2,-2,-2,2,1,42,0,70,70,70,0,-2,-2,2,2,3,1,1,3,3,-2,-2,2,1,63,0,2,1,8,485,970,0,678,6306,0.0,763.0,14774.0,0.0,3611.14,0.0,3674.21,7488.65,0.0,488.0,0.0,119.28,0.0,121.36,247.36,92982.0,-2.0,0,1,0,4,0,2
12891,4,10,0,-2,-2,1964,8,4,2,0,2,6,30,3,2,-2,3,22,41,-2,-2,-2,1,2,41,1,1,2,1,-2,-2,-2,6,1,5,-2,70,70,70,0,-2,-2,-2,-2,-2,0,1,3,2,-2,-2,1,1,43,0,2,7,4,0,1612,0,1403,832,0.0,472.0,31066.0,0.0,0.0,0.0,2397.27,28668.73,0.0,1342.0,0.0,0.0,0.0,103.56,1238.44,79446.0,-2.0,0,1,0,14,7,2
12892,3,5,0,20,1,2002,7,3,2,1,3,6,41,2,3,-2,3,22,3,-2,-2,-2,-2,-2,-2,5,4,2,4,13,2,2,3,5,3,0,70,68,68,0,3,1,-2,-2,-2,4,5,3,2,0,1,-2,1,60,0,2,1,7,1144,2288,400,1686,3108,0.0,0.0,39944.0,10741.98,2763.71,5871.28,2150.9,18416.13,0.0,1213.0,326.21,83.93,178.3,65.32,559.25,39944.0,-2.0,0,1,0,8,4,2
12893,3,7,0,10,1,1974,8,3,2,0,4,7,30,3,3,-2,3,22,2,-2,-2,-2,-2,-2,-2,1,4,2,3,12,2,3,10,5,1,-2,70,65,65,0,2,3,-2,-2,-2,2,1,1,3,1,1,-2,2,47,1,1,4,11,2142,612,1780,3450,1268,0.0,307.0,7114.0,752.69,3297.72,0.0,282.98,2780.6,0.0,293.0,31.0,135.82,0.0,11.66,114.52,38582.0,-2.0,0,1,0,13,0,0
12894,3,6,0,10,0,2000,7,3,2,0,3,6,41,2,3,-2,4,21,1,-2,-2,-2,1,3,2,5,1,3,4,30,5,2,3,5,3,1,68,68,68,0,1,3,-2,-2,-2,4,5,3,2,0,0,-2,1,42,1,1,4,12,2025,2025,0,1542,3455,0.0,0.0,79721.0,12357.5,11990.8,13214.45,4462.7,37695.56,0.0,2100.0,325.52,315.86,348.09,117.56,992.97,79721.01,-2.0,0,1,0,3,3,1
12895,4,10,0,10,0,1959,7,3,2,0,4,7,41,3,3,-2,3,22,3,-2,-2,-2,-2,-2,-2,1,0,3,2,-2,2,3,-2,-2,5,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,1,5,2,0,-2,-2,1,54,0,1,6,1,0,0,1404,1396,839,0.0,328.0,20769.0,0.0,0.0,0.0,2997.88,17771.12,0.0,984.0,0.0,0.0,0.0,142.03,841.97,54388.99999999999,-2.0,0,1,0,5,2,0
12896,4,10,0,10,0,2000,8,4,3,0,5,9,60,1,4,-2,4,21,3,4,22,3,-2,-2,-2,-2,3,2,2,30,3,2,3,5,3,0,68,68,68,0,-2,-2,-2,-2,-2,0,5,3,3,5,-9,-2,2,29,1,1,4,11,0,2368,676,169,7039,0.0,0.0,149050.0,32897.3,0.0,28558.28,13849.91,73744.51,0.0,3318.0,732.33,0.0,635.74,308.31,1641.63,149050.0,2.0,0,2,0,7,2,0
12897,3,5,-2,-2,-2,1998,8,2,1,0,2,4,20,1,4,-2,3,22,41,-2,-2,-2,-2,-2,-2,5,2,3,4,30,3,2,3,5,41,0,70,70,70,0,41,1,-2,-2,-2,1,5,41,2,-2,-2,-2,1,28,0,2,3,1,881,881,0,1787,3167,0.0,0.0,54084.0,10418.58,2682.08,11399.06,3647.94,25936.35,0.0,2073.0,399.34,102.8,436.92,139.82,994.12,54084.01,-2.0,0,1,0,5,1,2
12898,4,10,0,10,1,1950,6,3,3,0,3,6,30,1,4,-2,4,21,41,-2,-2,-2,-2,-2,-2,1,4,3,3,13,2,3,3,1,41,0,70,65,70,0,-2,-2,-2,-2,-2,2,1,41,3,1,-2,1,1,42,1,4,3,24,0,957,591,621,1281,0.0,468.0,23004.0,0.0,0.0,0.0,6627.4,16376.6,0.0,921.0,0.0,0.0,0.0,265.34,655.66,70974.01,-2.0,0,1,0,5,2,1
12899,3,5,0,20,1,1991,6,4,2,1,3,7,42,2,4,-2,4,21,2,-2,-2,-2,-2,-2,-2,5,4,2,3,13,3,2,3,5,3,1,68,68,70,0,3,3,-2,-2,-2,6,5,42,1,2,1,-2,1,49,1,1,1,20,2792,2792,400,4096,269,0.0,0.0,64439.0,2113.31,29890.36,3872.84,2944.66,25617.84,0.0,2362.0,77.46,1095.63,141.96,107.94,939.02,64439.01,-2.0,0,1,0,8,6,2
12900,4,10,0,10,0,1960,3,3,1,1,5,8,41,1,3,-2,4,21,2,-2,-2,-2,1,2,5,1,4,1,2,-2,4,2,6,1,5,-2,70,70,70,0,-2,-2,2,42,1,4,1,2,3,0,-2,1,2,56,2,1,4,7,400,800,800,1454,1238,0.0,977.0,32274.0,1014.95,2294.1,0.0,4455.51,24509.44,0.0,1903.0,59.85,135.27,0.0,262.71,1445.17,132417.0,-2.0,0,1,0,9,0,0
12901,1,1,1,10,0,1952,3,3,1,0,2,5,41,2,4,-2,4,22,3,-2,-2,-2,-2,-2,-2,5,2,-2,2,-2,2,2,2,3,5,0,65,64,64,0,-2,-2,1,41,2,1,5,2,3,0,-2,-2,2,46,2,1,2,12,203,1014,1014,398,6625,0.0,0.0,22195.0,0.0,409.96,7908.62,3438.93,10437.49,125237.0,964.0,0.0,17.81,343.5,149.36,453.33,147432.31,-2.0,0,1,0,4,0,0
