DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,FUELH2O,ZFUELH2O,WHEATOTH,ZWHEATOT,WHEATSIZ,ZWHEATSI,WHEATAGE,ZWHEATAG,UAUXH2OF,ZUAUXH2O,FAUXH2O,AIRCOND,COOLTYPE,ZCOOLTYP,DUCTS,ACHOUSE,ZACHOUSE,ACROOMS,ZACROOMS,CENACHP,ZCENACHP,AGECENAC,ZAGECENA,USECENAC,ZUSECENA,ACOTHERS,ZACOTHER,NUMBERAC,ZNUMBERA,WWACAGE,ZWWACAGE,USEWWAC,ZUSEWWAC,TREESHAD,ZTREESHA,LGT12,ZLGT12,LGT4,ZLGT4,LGT1,ZLGT1,OUTLGTNT,ZOUTLGTN,GASLIGHT,ZGASLIGH,SLDDRS,DOOR1SUM,WINDOWS,ADQINSUL,ZADQINSU,DRAFTY,
1018, 22254,9,1,2,0, 714, 5631,3, 1,0,0,0,2,0, 2,0,0,0,99,0,9,0,9,9,0, 0,0,9,0,99,0,9,0,9,0,0,0,99,0,9,0,0,0, 0,0, 3,0, 3,0,0,0,9,0,0,0,4,2,0,3
1019, 39672,9,3,5,0,1463, 3241,1, 5,0,0,0,3,0, 2,0,0,0,99,1,1,0,9,1,0, 7,0,1,0, 2,0,3,0,0,0,0,0,99,0,9,0,0,0, 5,0, 5,0, 5,0,1,0,0,0,1,1,4,1,0,4
1020, 33640,9,3,5,4,3458,  416,5, 5,0,0,0,2,0, 3,0,0,0,99,1,1,0,9,1,0, 5,0,0,0, 3,0,3,0,0,0,0,0,99,0,9,0,0,0, 0,0, 0,0, 0,0,0,0,9,0,1,2,6,1,0,4
1021, 33640,9,3,5,4,3458,  416,5, 5,0,0,0,1,0, 1,0,0,0,99,1,1,0,9,1,0, 5,0,0,0, 4,0,1,0,0,0,0,0,99,0,9,0,1,0, 0,0, 0,0, 0,0,0,0,9,0,1,2,3,2,0,3
1022, 33640,9,3,5,4,3458,  416,5, 5,0,0,0,2,0, 1,0,0,0,99,1,1,0,9,1,0, 4,0,0,0, 4,0,3,0,0,0,0,0,99,0,9,0,0,0, 0,0, 0,0, 1,0,0,0,9,0,1,1,4,1,0,4
1023, 32693,9,1,2,1,1216, 4298,4, 5,0,0,0,0,0, 0,0,0,0,99,1,2,0,9,2,0, 1,0,9,0,99,0,9,0,9,0,1,0, 3,0,3,0,0,0, 3,0, 3,0, 3,0,0,0,9,0,0,0,4,3,0,2
1024, 23933,9,1,2,1,1251, 4242,2, 1,0,0,0,2,0, 3,0,0,0,99,1,2,0,9,2,0, 2,0,9,0,99,0,9,0,9,0,2,0, 4,0,1,0,1,0, 0,0, 2,0, 2,0,0,0,9,0,0,0,5,2,0,4
1025, 23933,9,1,2,1,1251, 4242,5, 3,0,1,0,0,0, 0,0,0,0,99,0,9,0,9,9,0, 0,0,9,0,99,0,9,0,9,0,0,0,99,0,9,0,0,0, 2,0, 3,0, 0,0,0,0,9,0,0,0,2,2,0,3
1026, 23933,9,1,2,1,1251, 4242,5, 3,0,1,0,0,0, 0,0,0,0,99,1,2,0,9,1,0, 4,0,9,0,99,0,9,0,9,0,2,0,96,0,2,0,0,0, 2,0, 2,0, 2,0,0,0,9,0,0,0,2,1,0,4
1027, 27619,9,1,2,0,1271, 4398,5, 1,1,1,0,6,0,96,0,0,2,99,0,9,0,9,9,0, 0,0,9,0,99,0,9,0,9,0,0,0,99,0,9,0,0,0, 0,0, 2,0, 3,0,0,0,9,0,0,0,2,1,0,4
1028, 28587,9,1,2,0,1271, 4398,2, 1,0,0,0,2,0, 3,0,1,0, 3,1,2,0,9,1,0, 8,0,9,0,99,0,9,0,9,0,2,0, 2,0,1,0,0,0, 0,0, 3,0, 1,0,1,0,0,0,0,0,4,3,0,3
