DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,NHSLDMEM,ZNHSLDME,YEARS3,ZYEARS3,YEARS4,ZYEARS4,YEARS1,ZYEARS1,YEARS2,ZYEARS2,YEARS5,HBUSNESS,ZHBUSNES,OTHBUS1,OTHBUS2,OTHWORK,ZOTHWORK,OTHACT1,OTHACT2,ATHOME,ZATHOME,DRIVECAR,ZDRIVECA,VEHICLES,DRIVEMON,HHINTRO,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,ZSDESCEN,ORIGIN1,ZORIGIN1,ORIGIN2,ORIGIN3,MONEYPY,ZMONEYPY,POOR100,POOR125,POOR150,LIHEAP,
1022, 33640,9,3,5,4,3458,  416,5, 2,0,2,0,1,0,0,0,0,0, 0,0,0,99,99,0,0,99,99,1,0,1,0, 1, 2,1,1,68,0,1,0,0, 1,0,99,99, 8,0,0,0,0,0
1023, 32693,9,1,2,1,1216, 4298,4, 5,0,0,0,0,0,0,0,3,0, 2,0,0,99,99,0,0,99,99,1,0,0,0, 0, 0,1,1,21,2,0,1,0, 7,0,99,99, 5,0,0,1,1,1
1024, 23933,9,1,2,1,1251, 4242,2, 2,0,2,0,0,0,0,0,0,0, 0,0,0,99,99,0,0,99,99,1,0,1,0, 2, 2,1,2,73,0,1,0,0, 1,0,99,99, 7,0,0,0,0,0
1025, 23933,9,1,2,1,1251, 4242,5, 3,0,0,0,0,0,0,0,0,0, 3,0,0,99,99,0,0,99,99,1,0,0,0, 0, 2,1,1,38,1,0,1,0, 7,0,99,99, 5,0,0,0,0,1
1026, 23933,9,1,2,1,1251, 4242,5, 3,0,0,0,0,0,0,0,1,0, 2,0,0,99,99,0,0,99,99,1,0,1,0, 1, 2,1,1,40,0,1,1,0, 7,0,99,99, 6,0,0,0,0,0
1027, 27619,9,1,2,0,1271, 4398,5, 1,0,1,0,0,0,0,0,0,0, 0,0,0,99,99,0,0,99,99,1,0,0,0, 0, 0,0,1,75,0,9,0,0, 5,0,99,99, 2,0,1,1,1,1
1028, 28587,9,1,2,0,1271, 4398,2, 2,0,0,0,0,0,0,0,0,0, 2,0,0,99,99,0,0,99,99,0,0,1,0, 1, 2,1,2,59,1,1,0,0, 2,0,99,99, 8,0,0,0,0,0
1029, 24775,9,1,2,0,1271, 4398,2, 2,0,2,0,0,0,0,0,0,0, 0,1,0, 2,99,0,0,99,99,0,0,1,0, 2, 2,1,2,70,2,1,0,1, 1,1,99,99, 8,0,0,0,0,0
1030, 29189,9,3,5,0,1072, 4394,3, 4,0,0,0,0,0,0,0,2,0, 2,0,0,99,99,0,0,99,99,0,0,1,0, 2, 2,1,1,29,1,1,0,0, 1,0,99,99, 8,0,0,0,0,0
1031, 45902,9,3,5,0,1536, 3163,2, 2,0,0,0,0,0,0,0,0,0, 2,0,0,99,99,0,0,99,99,1,0,1,0, 2, 2,1,1,20,1,0,0,0, 2,0,99,99, 5,0,0,0,0,0
1032, 40448,9,3,5,0,1536, 3163,2, 2,0,0,0,0,0,0,0,0,0, 2,0,0,99,99,0,0,99,99,0,0,1,0, 2, 2,1,1,58,1,1,0,0, 1,0,99,99, 5,0,0,0,0,0
1033, 34426,9,3,5,0,1025, 4095,2, 3,0,1,0,0,0,0,0,1,0, 1,0,0,99,99,0,0,99,99,0,0,1,0, 1, 1,1,1,70,0,1,0,0, 1,0,99,99, 6,0,0,0,0,1
1034, 13763,9,3,6,0,1206, 3568,2, 3,0,0,0,0,0,1,0,0,0, 2,0,0,99,99,0,0,99,99,1,0,1,0, 2, 2,1,1,24,0,1,0,0, 1,0,99,99, 8,0,0,0,0,0
1035, 16347,9,1,2,1,1251, 4242,5, 2,0,0,0,0,0,0,0,0,0, 2,0,0,99,99,0,0,99,99,0,0,0,0, 0, 2,0,1,97,1,1,0,0, 5,0,99,99, 5,0,0,0,0,0
1036, 16347,9,1,2,1,1251, 4242,4, 4,0,0,0,0,0,0,0,0,0, 4,0,0,99,99,0,0,99,99,0,0,1,0, 1, 2,0,2,52,1,1,0,0,41,0, 5,99, 7,0,0,0,0,0
1037, 16347,9,1,2,1,1251, 4242,4, 3,0,0,0,0,0,0,0,0,0, 3,0,0,99,99,0,0,99,99,1,0,1,0, 1, 2,1,1,30,0,1,0,0, 1,0,99,99, 2,0,1,1,1,1
1038, 19415,9,1,2,0, 704, 5263,1, 1,0,1,0,0,0,0,0,0,0, 0,0,0,99,99,0,0,99,99,1,0,1,0, 1, 1,1,2,73,0,9,0,0, 1,0,99,99, 2,0,1,1,1,1
1039, 19415,9,1,2,0, 704, 5263,1, 1,0,0,0,0,0,0,0,0,0, 1,0,0,99,99,0,0,99,99,0,0,1,0, 1, 1,1,2,35,1,9,0,0, 1,0,99,99, 5,0,0,0,0,0
