DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,FUELHEAT,DNTHEAT,ZDNTHEAT,FUELHTPS,EQUIPM,ZEQUIPM,EQUIPAGE,ZEQUIPAG,HEATOTH,ZHEATOTH,EQUIPAUX,ZEQUIPAU,REVERSE,WARMAIR,STEAMR,PERMELEC,PIPELESS,ROOMHEAT,WOODKILN,CARRYEL,CARRYKER,CHIMNEY,RANGE,DIFEQUIP,DKEQUIP,ELECAUX,UGASAUX,LPGAUX,FOILAUX,KEROAUX,WOODAUX,SOLARAUX,OTHERAUX,DKAUX,FURNFUEL,RADFUEL,DIFFUEL,PIPEFUEL,RMHTFUEL,HSFUEL,FPFUEL,NGFPFLUE,USENGFP,RNGFUEL,EQMAMT,ACTSOLAR,THERMAIN,PROTHERM,ZPROTHER,TEMPHOME,TEMPGONE,TEMPNITE,HEATROOM,ZHEATROO,HEATNOT,ZHEATNOT,OTHNOHT,ZOTHNOHT,OTHSPAC1,OTHSPAC2,
1016, 23933,9,1,2,1,1251, 4242,5, 3,9,0, 0, 2,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,0,9,0,72,72,72,1,0, 0,0,0,0,99,99
1017, 44630,9,3,5,0,1025, 4095,4, 5,9,0, 0, 4,0, 4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,1,0,0,71,68,70,1,0, 0,0,0,0,99,99
1018, 22254,9,1,2,0, 714, 5631,3, 1,9,0, 0, 3,0, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,1,1,0,76,76,76,1,0, 0,0,0,0,99,99
1019, 39672,9,3,5,0,1463, 3241,1, 5,9,0, 0, 4,0, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,1,1,0,72,72,72,1,0, 0,0,0,0,99,99
1020, 33640,9,3,5,4,3458,  416,5, 5,9,0, 0, 3,0, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,1,0,0,71,65,69,1,0, 0,0,0,0,99,99
1021, 33640,9,3,5,4,3458,  416,5, 5,9,0, 0, 3,0, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,1,0,0,70,70,65,1,0, 0,0,0,0,99,99
1022, 33640,9,3,5,4,3458,  416,5, 5,9,0, 0, 3,0, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,1,0,0,72,72,68,1,0, 0,0,0,0,99,99
1023, 32693,9,1,2,1,1216, 4298,4, 5,9,0, 0, 2,0, 3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,5,1,9,0,9,0,65,65,65,1,0, 0,0,0,0,99,99
1024, 23933,9,1,2,1,1251, 4242,2, 1,9,0, 0, 2,0, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,1,0,0,68,60,62,1,0, 0,0,0,0,99,99
1025, 23933,9,1,2,1,1251, 4242,5, 3,9,0, 0, 2,0,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,0,9,0,72,72,72,1,0, 0,0,0,0,99,99
1026, 23933,9,1,2,1,1251, 4242,5, 3,9,0, 0, 2,0,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,0,9,0,74,74,74,1,0, 0,0,0,0,99,99
1027, 27619,9,1,2,0,1271, 4398,5, 1,9,0, 0, 2,0, 5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,0,9,0,80,80,80,1,0, 0,0,0,0,99,99
1028, 28587,9,1,2,0,1271, 4398,2, 3,9,0, 0, 2,0, 4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,1,1,0,70,65,65,1,0, 0,0,0,0,99,99
1029, 24775,9,1,2,0,1271, 4398,2, 1,9,0, 0, 3,0, 4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,99,99,99,99,99,99, 7,9,9,9,1,9,1,1,0,70,70,65,1,0, 0,0,0,0,99,99
1030, 29189,9,3,5,0,1072, 4394,3, 1,9,0, 0, 3,0, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,1,1,0,68,68,68,1,0, 0,0,0,0,99,99
1031, 45902,9,3,5,0,1536, 3163,2, 2,9,0, 0, 3,0, 4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,9,9,9,1,9,1,0,0,60,60,70,0,0, 2,0,0,0,99,99
