SURVEY,DOEID,REGIONC,DIVISION,LRGSTATE,TYPEHUQ,MQRESULT,NWEIGHT,HD65,CD65,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,GALLONKR,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD
2005,4153,3,6,0,2,9,18869.2713851,4020,1747,20970,71550,999999,9999999,999999,9999999,920,84024,999999,9999999,8030,0,10056,4021,13026,13574,0,40929,9999999,9999999,9999999,9999999,9999999,9999999,0,84024,0,9999999
2005,4154,3,7,3,2,9,32971.4228167,964,3303,16088,54893,999999,9999999,999999,9999999,270,24629,999999,9999999,3712,0,4244,2684,14903,14031,3456,19819,9999999,9999999,9999999,9999999,9999999,9999999,11431,13198,0,9999999
2005,4155,1,2,0,2,9,26144.5507755,5271,1083,9372,31977,999999,9999999,315,43655,264,24111,999999,9999999,4060,678,0,5582,3341,0,0,23054,9999999,9999999,9999999,0,43655,0,0,0,24111,9999999
2005,4156,4,9,2,2,9,26817.4986180,1903,362,3561,12150,305,31385,999999,9999999,999999,9999999,999999,9999999,2495,417,0,2566,0,0,0,9584,3066,15391,12928,9999999,9999999,9999999,9999999,9999999,9999999,5000
2005,4157,1,2,0,3,9,26211.0962042,4599,1439,5020,17128,431,44350,999999,9999999,999999,9999999,999999,9999999,2251,376,0,2058,2416,0,0,12654,0,14956,29394,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4158,1,1,0,2,9,15442.9648412,6748,755,4119,14055,1031,106090,999999,9999999,999999,9999999,999999,9999999,2797,0,0,2739,2092,0,0,9224,2759,13852,89479,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4159,2,4,0,2,9,6998.1578112,7151,533,3212,10959,608,62563,999999,9999999,999999,9999999,999999,9999999,2491,0,0,3861,453,0,0,6645,0,13987,48576,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4160,1,2,0,2,9,6183.0868221,5230,1171,2479,8458,727,74808,999999,9999999,999999,9999999,999999,9999999,0,0,0,1340,901,0,0,6217,10205,16088,48515,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4161,1,2,1,5,9,37119.3962666,4732,1699,4546,15510,42,4305,1018,141255,999999,9999999,999999,9999999,0,0,0,4575,3726,0,0,7209,4305,0,0,0,112243,29012,9999999,9999999,9999999,9999999
2005,4162,2,3,0,2,9,7029.9306197,6097,1130,6940,23679,1179,121319,999999,9999999,999999,9999999,999999,9999999,0,0,3990,4066,2650,0,0,16963,17167,28622,75530,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4163,2,3,0,2,9,34330.9876139,6097,1163,5527,18858,1080,111126,999999,9999999,999999,9999999,999999,9999999,0,0,0,7988,2465,0,0,8405,10276,16199,84651,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4164,4,9,2,2,9,24921.0968936,1213,1880,6985,23833,142,14612,999999,9999999,999999,9999999,999999,9999999,4420,738,0,3357,0,0,0,20476,1819,7916,4877,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4165,3,5,0,3,9,36213.3587545,3923,2164,1814,6190,672,69198,999999,9999999,999999,9999999,999999,9999999,0,0,0,2396,0,0,0,3794,2926,14688,51584,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4166,1,1,0,2,9,13124.3032586,6865,668,5404,18438,865,89009,999999,9999999,999999,9999999,999999,9999999,3092,516,0,2634,1813,0,0,13991,0,23616,65393,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4167,3,7,3,2,9,25677.9652467,1100,3507,8259,28180,405,41675,999999,9999999,999999,9999999,999999,9999999,2435,407,0,1761,12275,0,0,14144,0,30958,10717,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4168,4,8,0,5,9,30838.0571204,3848,1544,2923,9973,295,30365,999999,9999999,999999,9999999,999999,9999999,0,0,0,3304,0,0,0,6669,0,6292,24073,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4169,1,1,0,2,9,14399.1686432,6261,803,18978,64753,999999,9999999,1307,181268,999999,9999999,999999,9999999,5628,940,8159,10076,2699,0,0,51978,9999999,9999999,9999999,0,136540,44728,9999999,9999999,9999999,9999999
2005,4170,4,9,0,2,9,23695.6163942,4465,162,18283,62382,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2610,764,5226,7781,0,12202,13015,29384,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4171,4,9,0,2,9,8236.7058143,9665,0,18622,63538,853,87774,999999,9999999,999999,9999999,999999,9999999,0,1015,8807,13935,0,0,0,49603,5507,23353,58914,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4172,4,9,0,5,9,23311.9099039,4637,946,6391,21806,999999,9999999,999999,9999999,999999,9999999,999999,9999999,0,0,0,2777,1165,6182,5984,5698,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4173,4,9,0,2,9,23695.6163942,4674,87,7270,24805,999999,9999999,999999,9999999,502,45852,999999,9999999,0,312,0,3335,266,0,7321,13883,9999999,9999999,9999999,9999999,9999999,9999999,5385,0,40467,9999999
2005,4174,3,6,0,2,9,20461.2198394,2339,2136,11954,40787,999999,9999999,999999,9999999,261,23854,999999,9999999,4536,0,0,4147,4746,9885,0,22009,9999999,9999999,9999999,9999999,9999999,9999999,0,23854,0,9999999
2005,4175,1,1,0,3,9,14305.6727730,6577,746,6958,23742,679,69869,999999,9999999,999999,9999999,999999,9999999,0,671,4595,1715,2643,0,0,19384,8794,14191,46884,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4176,4,9,2,2,9,24261.8102616,1435,1434,9992,34093,623,64107,999999,9999999,999999,9999999,999999,9999999,0,656,0,6167,9447,0,0,18479,9611,35402,19094,9999999,9999999,9999999,9999999,9999999,9999999,9999999
