DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,SIGNFORM,KFUELOT,FARM,TENANT,BUSINESS,OTHERUSE,BILLUG,BLPUSE,BILLFOIL,BILLKER,BILLEL,BILLUGP,BILLLPGP,BILLFOLP,BILLKERP,BILLELP
1055,  6781,9,2,4,0, 512, 7437,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1056, 26445,9,2,3,0, 473, 7386,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1057, 18040,9,4,9,0, 461, 3958,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1058, 17791,9,3,6,0, 801, 5080,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1059, 21276,9,3,5,0, 901, 4425,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1060, 10516,9,3,6,0,1129, 4315,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1061, 43862,9,3,7,0,1625, 3919,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1062,  6961,9,4,9,2, 267, 6277,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1063, 34653,9,2,3,0, 718, 6525,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1064, 21894,9,3,5,0,1480, 3133,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1065, 13222,9,2,3,0, 377, 7254,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1066, 26834,9,1,2,0, 335, 6724,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1067, 11622,9,3,6,0,1167, 4123,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1068, 19833,9,2,3,0, 439, 7733,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1069, 17926,9,2,3,0, 635, 5922,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1070, 11096,9,3,7,0,2317, 2776,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1071, 15297,9,1,2,0, 904, 5182,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1072,  6384,9,1,2,0,1032, 4789,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1073, 23359,9,3,7,0,1700, 3829,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1074, 10872,9,3,5,0,1789, 2284,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1075, 52122,9,3,7,0,1722, 3639,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1076, 17321,9,3,5,0, 901, 3753,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1077, 12684,9,1,2,0, 883, 5118,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1078, 13353,9,4,8,0, 328, 7775,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1079, 34282,9,3,7,0,1952, 3179,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1080, 24424,9,4,9,2,1339,  860,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1081, 15419,9,3,5,4,2110, 1111,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1082, 12782,9,3,7,3,2788, 1503,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1083,  9987,9,3,5,0,1279, 3629,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1084, 17629,9,3,7,3,3028, 1333,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1085, 17237,9,1,2,0,1079, 4698,3,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1086, 13533,9,4,9,0, 305, 3828,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1087, 25564,9,4,8,0, 537, 5856,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1088, 15978,9,3,7,3,2645, 2100,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1089, 10995,9,1,1,0, 624, 6104,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1090, 16564,9,3,5,4,1972, 1159,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1091, 15259,9,4,8,0,1571, 3762,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1092, 15795,9,1,1,0, 500, 5867,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1093, 19720,9,3,5,4,2595,  940,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1094, 20342,9,2,4,0, 553, 8309,4,0,1,0,0,1,0,1,0,0,0,0,4,9,9,9,9
1095, 17237,9,1,2,0, 388, 6531,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1096, 21987,9,4,9,2,1662, 1915,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1097, 12372,9,3,5,0,1800, 2818,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1098, 16010,9,1,2,1,1146, 4627,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1099, 23800,9,2,3,0, 544, 6840,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1100, 21556,9,4,9,0,  59, 5270,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1101, 17912,9,1,1,0, 645, 6050,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1102,  9307,9,3,7,0,1756, 3713,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1103, 31133,9,3,6,0,1089, 4407,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1104, 21245,9,1,2,0, 848, 5250,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1105, 12952,9,2,3,0, 888, 6218,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1106,  8796,9,3,5,4,2690, 1025,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1107, 12458,9,2,4,0, 551, 8528,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1108, 23344,9,3,6,0,1925, 2583,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1109, 17889,9,1,2,0, 343, 6568,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1110, 27471,9,4,9,2, 253, 2262,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1111, 18372,9,4,9,0,  91, 5124,2,1,1,0,0,0,1,1,0,0,0,0,1,9,9,9,9
1112, 20705,9,3,5,4,2432,  998,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1113, 20539,9,2,3,0, 565, 6803,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1114, 19833,9,2,3,0, 445, 7523,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1115, 16816,9,2,4,0, 615, 8138,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1116, 19972,9,3,7,3,2707, 1975,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1117, 11333,9,2,3,0, 580, 6757,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1118, 10562,9,3,7,0,1743, 3749,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1119, 17629,9,3,7,3,3155, 1278,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1120, 11901,9,1,2,0, 818, 5287,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1121, 11729,9,3,5,4,2674,  913,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1122, 13411,9,4,8,0,  72, 8022,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1123, 17033,9,4,9,2,1418, 2328,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1124,  8090,9,2,3,0, 709, 6107,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1125, 18279,9,3,7,3,1145, 5841,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1126,  8400,9,1,1,0, 257, 8042,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1127, 11622,9,3,6,0,2327, 1931,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1128, 12688,9,1,2,1,1029, 4716,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1129, 16474,9,4,9,2,1331, 2462,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1130, 22228,9,1,2,0, 674, 5701,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1131, 35673,9,3,7,0,1845, 3346,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1132,  6720,9,1,1,0, 289, 7608,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1133, 11832,9,1,1,0, 682, 5996,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1134, 24311,9,2,3,0, 669, 6550,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1135, 13398,9,4,8,0,4651, 1026,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1136, 16447,9,1,2,1, 940, 4891,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1137, 20385,9,3,5,0,1280, 3627,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1138, 31188,9,2,3,0, 658, 6640,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1139, 23506,9,3,7,3,2804, 1574,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1140,  7379,9,1,1,0, 769, 5599,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
